If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Google may be considering Swift for use on Android,Why porting an iOS design to Android will not work,Alecrim/AlecrimCoreData,What to Expect at WWDC 2016,Post: Just Say mNo to Hungarian Notation,Apple Releases First Preview of Swift 3.0 for Developers
"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,"No dia das mães, Avon lança campanha com mãe de jovem gay",Neural networks are inadvertently learning our language's hidden gender biases
"No dia das mães, Avon lança campanha com mãe de jovem gay",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",The Genderbread Person v3 | It's Pronounced Metrosexual,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
Bot Engine,5 reasons your employees aren't sharing their knowledge,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Top 10 Intranet Trends of 2016,Nespresso
The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The new tech talent you need to succeed in digital,How to Create an Exponential Mindset,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Two Different Sales Motions . . . .
The new tech talent you need to succeed in digital,The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,6 exemplos de como usar computação cognitiva | EXAME.com,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Mobile Time
Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Effective learning through code workshops | Box Blog,7 Tips to Create a Company Learning Culture like Google - Without Resources,The Business Case for Progressive Web Apps
"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Google researchers teach AIs to see the important parts of images - and tell you about them,Using behavioral data to improve customer satisfaction,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","Agile is Dead, Long Live Continuous Delivery - Gradle",The brilliant mechanics of Pokémon Go,Effective learning through code workshops | Box Blog,How This Former Google Engineer Is Bringing Blockchain to Banks,Código Google: Introdução da próxima geração do Google Tag Manager e do Tag Manager 360 para Mobile Apps
Shopping em BH terá fazenda urbana de 2.700 m²,Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Gartner Reprint,Workplace diversity in Brazil: there's still a long way to go
Introducing Kotlin support in Spring Framework 5.0,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Notes on Reactive Programming Part I: The Reactive Landscape,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,Design Sprint: onde o design e a velocidade importam,A saga do jovem CEO da Dasa,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Cinco competências comportamentais para você ser um bom líder,Is FinTech Forcing Banking to a Tipping Point?
Why image recognition is about to transform business,Mobile marketing statistics 2016,The barbell effect of machine learning.,Google Cloud Goes to the Farm,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Nespresso
Post: Just Say mNo to Hungarian Notation,The Importance of Code Reviews,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Up your app's sharing game with DirectShare - Google Developers,Pull request first - Practical Blend
The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,Machine Learning Is Redefining The Enterprise In 2016,The barbell effect of machine learning.
Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Google employees are adding 'Lady' to their job titles to fight sexism,O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?
Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",What Apple's differential privacy means for your data and the future of machine learning,Não existe frete grátis!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Infográfico: Algoritmos para Aprendizado de Máquina
"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,When to make a Git Commit,The Best Linux Distros of 2016
Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The Internet of Things is looking for its VisiCalc,Machine Learning Is Redefining The Enterprise In 2016,The barbell effect of machine learning.,"The ""Joel Test"" for Data Science",Nintendo has doubled in value since Pokémon Go's release
The rise of APIs,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question
Google Cloud Platform sets a course for new horizons,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Two Different Sales Motions . . . .,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Nintendo has doubled in value since Pokémon Go's release,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Angular 2 versus React: There Will Be Blood - Free Code Camp,Advanced Android Espresso,My favorite people and resources to learn Android programming from,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,StrictMode for Runtime Analysis on Android - Google Developers
The Difference Between Sympathy And Empathy - Expanded Consciousness,Scrum Community - Scrum Alliance,7 Questions to Ask Before Your Next Digital Transformation,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question
Embracing Agile,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,Big IT Rising,An operating model for company-wide agile development,Rewiring Citi for the digital age
Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,6 reasons why I like KeystoneML,Spark comparison: AWS vs. GCP
"Building A Modern, Scalable Backend: Modernizing Monolithic Applications","Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,The Java 8 API Design Principles,The hardest thing in computer science
8 Insanely Simple Productivity Hacks,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,A digital crack in banking's business model,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,The brilliant mechanics of Pokémon Go
Can Accenture Take Over Advertising?,Meio&Mensagem,Two Different Sales Motions . . . .,Accenture amplia atuação no Brasil,The need to lead in data and analytics,7 Questions to Ask Before Your Next Digital Transformation
Google employees are adding 'Lady' to their job titles to fight sexism,9 Non-Threatening Leadership Strategies for Women,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Bad Writing Is Destroying Your Company's Productivity,#Sentaquelávemtextão
Salesforce Architect Journey,Live asynchronously.,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Seniority,Assessing Salesforce's platform and ecosystem | ZDNet,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
Acquia Engage Awards Finalists Announced,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Who sponsors Drupal development? | Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,WeChat's world,Cross-channel user experiences with Drupal
"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Building Spring Cloud Microservices That Strangle Legacy Systems,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Building Flipkart Lite: A Progressive Web App,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Introducing Kotlin support in Spring Framework 5.0
How to Get a Job at Google,Ray Kurzweil: The world isn't getting worse - our information is getting better,The Difference Between Sympathy And Empathy - Expanded Consciousness,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",Who sponsors Drupal development? | Dries Buytaert,Staying one step ahead at Pixar: An interview with Ed Catmull
Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,The Importance of Code Reviews,Dark Scrum,Up your app's sharing game with DirectShare - Google Developers
Spring Boot 1.5.1 released,Introducing Kotlin support in Spring Framework 5.0,Serverless Architectures,"Kotlin in Production - What works, Whats broken",Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
Bradesco lança serviço inédito para estimular o hábito de poupar,The Future of Digital Banking is Now,Nubank e Goldman fecham parceria de R$ 200 milhões,The Drive to Bank on Digital,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Using Honcho to Create a Multi-Process Docker Container
The Ultimate Solution to Versioning REST APIs: Content Negotiation,Modelando APIs REST com Swagger,bliki: StranglerApplication,Xamarin for Everyone,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The hardest thing in computer science
Mulheres são mais criativas que homens?,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism
7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question,Two Different Sales Motions . . . .,An operating model for company-wide agile development,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Sua comunidade de Teste.,Como Usar o Git e o GitHub,Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Dicas avançadas de ruby (capybara/cucumber)
"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Building more accessible technology,Making open source data more available,Designing smart notifications,The AI business landscape,5 reasons your employees aren't sharing their knowledge
Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google is quietly recording everything you say. Here's how to hear it,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Google is testing a new Material Design layout for desktop searches
Microsoft's Open Source Love Affair Reaches New Heights,It's The Future,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child
Bot Design Patterns,Cubr,Microsoft's Open Source Love Affair Reaches New Heights,The next wave in software is open adoption software,Serverless Data Sync in Web Apps with Bit Torrent,The End Of Apple Man
Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Closure Compiler in JavaScript,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
gotwarlost/istanbul,Resenha - A Chegada,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Creating Compound Views on Android,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',My favorite people and resources to learn Android programming from
The hardest thing in computer science,bliki: StranglerApplication,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications","GitHub broke my 1,000 day streak - Free Code Camp",The Java 8 API Design Principles,Building Spring Cloud Microservices That Strangle Legacy Systems
Google is quietly recording everything you say. Here's how to hear it,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,14 Cool Drupal 8 modules for site builders | August 2016,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",7 Questions to Ask Before Your Next Digital Transformation
[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,6 reasons why I like KeystoneML,Angular 2
Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Aplicações da Inteligência artificial | Endeavor Brasil,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Sobre o Hipsters Ponto Tech,Machine Learning and the VP Debate
"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Chat Smarter with Allo,Google lags behind Amazon and Microsoft's cloud in one important area,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Graph Capabilities with the Elastic Stack,Introduction to release engineering
PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,The new tech talent you need to succeed in digital,Mobile Time,How to Create an Exponential Mindset,Liberty vai adotar telemetria e baratear seguro para bons motoristas
The need to lead in data and analytics,Meio&Mensagem,Can Accenture Take Over Advertising?,Accenture amplia atuação no Brasil,7 Questions to Ask Before Your Next Digital Transformation,Meet the new Brazilian consumer
O chefe é gay. E daí?,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,The Genderbread Person v3 | It's Pronounced Metrosexual,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Introducing Ask a Female Engineer
Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Como resolver conflitos no ambiente corporativo us,What Science Tells Us About Leadership Potential,"Para neurociência, motivação não é fator principal em mudança de hábitos"
Serverless Data Sync in Web Apps with Bit Torrent,Cubr,Kubernetes,Eclipse Foundation Releases Neon,Beyond Progressive Web Apps Part 2: We Need to Know What's New,"Autofill: What web devs should know, but don't"
Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design
Staying one step ahead at Pixar: An interview with Ed Catmull,An operating model for company-wide agile development,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,The return of the machinery question,7 Questions to Ask Before Your Next Digital Transformation
MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The future of the shopping mall,Mobile Time,The new tech talent you need to succeed in digital
Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,The AI business landscape,5 reasons your employees aren't sharing their knowledge,Algorithms and architecture for job recommendations,"Hello, TensorFlow!"
14 Cool Drupal 8 modules for site builders | August 2016,Google is quietly recording everything you say. Here's how to hear it,Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Hacked Website Report - 2016/Q3,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz
"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",O homofóbico dentro de cada um,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,12 JavaScript Hacks,Workplace diversity in Brazil: there's still a long way to go
Tech in Brazil is booming despite the country's political troubles,How to Design a Walkthrough That Users Will Read,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption","No, Apple isn't the next BlackBerry - it's the next Microsoft",The barbell effect of machine learning.,What Color is Your Function?
"Little girls doubt that women can be brilliant, study shows",O que é liderança? Liderança é fazer a diversidade funcionar.,Workplace diversity in Brazil: there's still a long way to go,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Para entender o Dia Internacional contra a Homofobia
Two Different Sales Motions . . . .,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,7 Questions to Ask Before Your Next Digital Transformation,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The return of the machinery question,An operating model for company-wide agile development
Notes on Reactive Programming Part I: The Reactive Landscape,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Building Flipkart Lite: A Progressive Web App,Introducing Kotlin support in Spring Framework 5.0,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Google's Cloud Machine Learning service is now in public beta,Microsoft's Open Source Love Affair Reaches New Heights,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Powering a more connected and collaborative enterprise,Google lança YouTube Kids no Brasil | Google Discovery
Bradesco vai lançar novo banco digital: o Next.,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Visa lança desafio para startups de tecnologia - Startupi,Nubank pode fechar as portas se BC confirmar mudança amanhã,You won't recognize the new world of digital payments without this report,Itaú é pioneiro do blockchain
"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",Liberty vai adotar telemetria e baratear seguro para bons motoristas,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi,Mobile Time
"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Apple Releases First Preview of Swift 3.0 for Developers,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
Especial: O papel dos grandes provedores de TI na Rio 2016,Introducing JIRA Software for iPhone,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Governo brasileiro cria manual para contratação de cloud,Organizing for digital acceleration: Making a two-speed IT operating model work,Assessing Salesforce's platform and ecosystem | ZDNet
Creating Compound Views on Android,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Resenha - A Chegada,gotwarlost/istanbul
Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Nova pulseira tecnológica avisa se você já bebeu demais,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...
#iLookLikeAnEngineer: One Year Later,Promoting gender equality through emoji �� ��,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Criadas para casar,Empresa britânica adota licença remunerada no período menstrual
Criando ícones animados no Android,Tasting Dagger 2 on Android,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,My favorite people and resources to learn Android programming from,Advanced Android Espresso,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Microservices Architecture on Google App Engine,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,The Internet of Things is looking for its VisiCalc
Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Blaise Agüera y Arcas: How computers are learning to be creative,Duolingo's chatbots help you learn a new language
"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,1º Congresso Brasileiro de IoT - Embarcados,19 Tips For Everyday Git Use,Burger King aceita pedidos via mensagens no Facebook - Startupi
Par de alianças impede que seu parceiro assista Netflix sem você,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,"Docker - Build, Ship, and Run Any App, Anywhere",Mary Meeker's essential 2016 Internet Trends Report,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape
Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,You don't talk about refactoring club,Accidental discovery could help batteries last years longer
Desenvolvimento de Aplicativos Mobile com Xamarin -,Most Interesting APIs in 2016: Cognitive Computing,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Beyond Progressive Web Apps Part 1,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise"
Branding é problema seu. E meu.,Sete Reinos,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A identidade visual de Budapeste para as Olimpíadas de 2024,71 erros de português que precisam sumir dos seus e-mails,Festival de Fotografia Hercule Florence - Timeline | Facebook
WeChat's competitor to Slack has arrived,WeChat's world,"How I built an app with 500,000 users in 5 days on a $100 server","Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Cross-channel user experiences with Drupal,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
Firebase and Google Cloud: better together,Google lags behind Amazon and Microsoft's cloud in one important area,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Quick Tip: Working with the JavaScript Battery API,"A whole new GitHub Universe: announcing new tools, forums, and features",Comparing React.js to Vue.js for dynamic tabular data,Building Flipkart Lite: A Progressive Web App,CMN regulamenta abertura de conta de depósito por meio eletrônico
JavaServer Faces 2.3 Quick Reference - DZone Java,Graph Capabilities with the Elastic Stack,Eclipse Foundation Releases Neon,Plano nacional de ''internet das coisas'' sai em fevereiro,Código Google: Introdução da próxima geração do Google Tag Manager e do Tag Manager 360 para Mobile Apps,How Do Top Android Developers QA Test Their Apps?
Graduação já não garante uma carreira de sucesso em TI - CIO,Alecrim/AlecrimCoreData,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
Accenture amplia atuação no Brasil,You won't recognize the new world of digital payments without this report,Nubank pode fechar as portas se BC confirmar mudança amanhã,Can Accenture Take Over Advertising?,O tênue equilíbrio da equipe que desenha produtos digitais,Visa lança desafio para startups de tecnologia - Startupi
Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,Mastering Bash and Terminal
Front in BH 2016,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Python Is Not Java (dirtSimple.org),Design Better Forms - uxdesign.cc - User Experience Design,Promises | Web Fundamentals - Google Developers
Abrimos uma conta no Original.,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Nubank e Goldman fecham parceria de R$ 200 milhões,Mobile Time,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico
Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Abrimos uma conta no Original.,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Engineering Digital Banking Solutions Using UX Methodology
Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,The Continuous Delivery Maturity Model,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Our password hashing has no clothes,"DevOps security requires new mindset and tools for visibility, automation"
Workshop de Design Thinking - Unicamp,Most Interesting APIs in 2016: Cognitive Computing,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"Docker - Build, Ship, and Run Any App, Anywhere",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Visa lança desafio para startups de tecnologia - Startupi
"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,4 Reasons Managers Should Spend More Time on Coaching
Liberty vai adotar telemetria e baratear seguro para bons motoristas,The new tech talent you need to succeed in digital,Mobile Time,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Nubank começa a testar seu programa de fidelidade - Empresas Tech
Top 15 Facebook Open Source Projects You Must Know,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Things you probably didn't know you could do with Chrome's Developer Console
